,username_mittente,id_mittente,username_ricevente,id_ricevente,semestre,weights
8459,bmoschetti,44444384,8blackdiamond8,48137402,1.0,0.0
8460,bmoschetti,44444384,Amy_Siskind,15976705,1.0,0.0
8461,bmoschetti,44444384,BarackObama,813286,1.0,0.0
8462,bmoschetti,44444384,BernieSanders,216776631,1.0,0.0
8463,bmoschetti,44444384,BillKristol,2800581040,1.0,0.0
8464,bmoschetti,44444384,CNN,759251,1.0,0.0
8465,bmoschetti,44444384,DNC,722793491059769344,1.0,0.0
8466,bmoschetti,44444384,DavidCornDC,15220768,1.0,0.0
8467,blwemoonrising,975500763400212481,JoeBiden,939091,1.0,0.0
8468,bmoschetti,44444384,DecisionDeskHQ,918169628,1.0,0.0
8469,bmoschetti,44444384,DogginTrump,824320363257413633,1.0,0.0
8470,bmoschetti,44444384,DorothyRivers,452513697,1.0,0.0
8471,bmoschetti,44444384,EthanObama,1639395961,1.0,0.0
8472,bmoschetti,44444384,I_Am_LisaR,1083568624906981378,1.0,0.0
8473,bmoschetti,44444384,KebaAnd,1181792030801874944,1.0,0.0
8474,bmoschetti,44444384,Laurenjmayk,505805250,1.0,0.0
8475,bmoschetti,44444384,MSNBC,2836421,1.0,0.0
8476,bmance1,206861151,MatthewJshow,762932101,1.0,0.0
8477,bluewavela1,1274533753956655105,realDonaldTrump,25073877,1.0,0.0
8478,bmoschetti,44444384,PeteButtigieg,226222147,1.0,0.0
8479,bluetxblue,25645203,CecereJoanne,3184541816,1.0,0.0
8480,bluegirlcinemas,1172355371891118080,shaunking,755113,1.0,0.0
8481,blueheelerguy,19352314,TheRickWilson,19084896,1.0,0.0
8482,blueheelerguy,19352314,allan9197,968551090340945931,1.0,0.0
8483,blueheelerguy,19352314,seemva1,1081620007371661312,1.0,0.0
8484,bluelathyrus94,2303960857,janeosanders,701081673681637376,1.0,0.0
8485,bluesilver3005,2302126971,HillaryClinton,1339835893,1.0,0.0
8486,bluesilver3005,2302126971,JoeBiden,939091,1.0,0.0
8487,bluetxblue,25645203,CDebey,1375913290635866118,1.0,0.0
8488,bluetxblue,25645203,JoeBiden,939091,1.0,0.0
8489,bluetxblue,25645203,timjhogan,221298491,1.0,0.0
8490,bluetxblue,25645203,JoyceWhiteVance,548384458,1.0,0.0
8491,bluetxblue,25645203,KatyTurNBC,39000115,1.0,0.0
8492,bluetxblue,25645203,RadioFreeTom,459872442,1.0,0.0
8493,bluetxblue,25645203,SethAbramson,3223426134,1.0,0.0
8494,bluetxblue,25645203,SnarkyBetoChick,1195113143308976129,1.0,0.0
8495,bluetxblue,25645203,benjaminwittes,186667011,1.0,0.0
8496,bluetxblue,25645203,kylegriffin1,32871086,1.0,0.0
8497,bluetxblue,25645203,smartdissent,826982179204915200,1.0,0.0
8498,bmoschetti,44444384,PelosiSquadXVII,1169369115758252032,1.0,0.0
8499,bmoschetti,44444384,Stace_RNresists,1009246807912734720,1.0,0.0
8500,bluegirlcinemas,1172355371891118080,mehdirhasan,130557513,1.0,0.0
8501,bobby_i_,844455732,politico,9300262,1.0,0.0
8502,bobby990r_1,2294452695,MikeBloomberg,16581604,1.0,0.0
8503,bobby990r_1,2294452695,RyanForgue,1433285000280088577,1.0,0.0
8504,bobby990r_1,2294452695,howardfineman,14962779,1.0,0.0
8505,bobby_i_,844455732,JoeBiden,939091,1.0,0.0
8506,bobby_i_,844455732,Lawrence,158426909,1.0,0.0
8507,bobby_i_,844455732,MSNBC,2836421,1.0,0.0
8508,bobby_i_,844455732,SenSanders,29442313,1.0,0.0
8509,bobby_i_,844455732,TheLastWord,182503471,1.0,0.0
8510,bobbydick66,245365628,megynkelly,110445334,1.0,0.0
8511,bobbitalk,60303192,cspanwj,15923226,1.0,0.0
8512,bobcobbmaestro1,1132719164110458880,Newsweek,2884771,1.0,0.0
8513,bobcobbmaestro1,1132719164110458880,billmaher,19697415,1.0,0.0
8514,bobcobbmaestro1,1132719164110458880,joshtpm,21268897,1.0,0.0
8515,bobcobbmaestro1,1132719164110458880,realDonaldTrump,25073877,1.0,0.0
8516,bobcobbmaestro1,1132719164110458880,usairforce,19611483,1.0,0.0
8517,bobebill,258092937,AndyOstroy,123281100,1.0,0.0
8518,bobebill,258092937,LindseyGrahamSC,432895323,1.0,0.0
8519,bobebill,258092937,PamKeithFL,2966770391,1.0,0.0
8520,bobby990r_1,2294452695,JoeBiden,939091,1.0,0.0
8521,bob_nic_lsu,703013330429091840,JasonSCampbell,325716763,1.0,0.0
8522,bmoschetti,44444384,SteveKornacki,44134773,1.0,0.0
8523,bmoschetti,44444384,jpelzer,3830061,1.0,0.0
8524,bmoschetti,44444384,UMassLowell,14861663,1.0,0.0
8525,bmoschetti,44444384,amyklobuchar,33537967,1.0,0.0
