,source,id_source,target,id_target,weights
80,nikihamedi,758186902289645569,JoeBiden,939091,0.11864406779661017
81,509shawng,793658020743876608,realDonaldTrump,25073877,0.11864406779661017
82,electiledysfx,1210976097329745925,BernieSanders,216776631,0.11864406779661017
83,mark3ds,1242570896,nytimes,807095,0.11864406779661017
84,blesamerica,2534967565,blesamerika,1435538364,0.11864406779661017
85,blesamerica,2534967565,TheJusticeDept,73181712,0.11864406779661017
86,mom49of3,851518182,realDonaldTrump,25073877,0.11864406779661017
87,jphoganorg,37222728,JoeBiden,939091,0.11864406779661017
88,dcfairbank,55679493,jimmy_dore,98992586,0.11864406779661017
89,moogoo3544,314641312,SandraSmithFox,2332354080,0.11864406779661017
90,kas_sb,408934861,thehill,1917731,0.11864406779661017
91,zemanlynnz,3589010426,HouseGOP,15207668,0.11864406779661017
92,ann1ebug,724271431945592832,realDonaldTrump,25073877,0.11864406779661017
93,bosslattie,1244486063097147392,JoeBiden,939091,0.11864406779661017
94,golmakanineda,1355147425728638977,ashleytabaddor,2610224048,0.11864406779661017
95,b1gten01,885566995084824577,ABCWorldNews,86141342,0.11864406779661017
96,stickerdeep,177500997,realDonaldTrump,25073877,0.11864406779661017
97,milesqblack1,1084980649520496642,SenTedCruz,1074480192,0.11864406779661017
98,oconnellbrody2,1394492027270832128,POTUS,1349149096909668363,0.11864406779661017
99,akazo,156549358,JoeBiden,939091,0.11864406779661017
100,mark3ds,1242570896,JustinTrudeau,14260960,0.11864406779661017
101,jacq4peace,1242991880,JoeBiden,939091,0.11864406779661017
102,peterdawsonusa,84091971,BernieSanders,216776631,0.11864406779661017
103,beyfirudin,1298705760428400641,POTUS,1349149096909668363,0.11864406779661017
104,mark3ds,1242570896,TerryGlavin,1380753061,0.11864406779661017
105,blesamerica,2534967565,csthetruth,791249544801554432,0.11864406779661017
106,blesamerica,2534967565,Jim_Jordan,18166778,0.11864406779661017
107,golmakanineda,1355147425728638977,SecBlinken,1350150750966603777,0.11864406779661017
108,funnymcmurray,754592746405449728,realDonaldTrump,25073877,0.11864406779661017
109,blesamerica,2534967565,dbongino,232901331,0.1016949152542373
110,blesamerica,2534967565,marklevinshow,38495835,0.1016949152542373
111,tblackwe85,3272301115,JoeBiden,939091,0.1016949152542373
112,pirateladyjane,25577089,realDonaldTrump,25073877,0.1016949152542373
113,bledsoe_wes,1260210845365284867,realDonaldTrump,25073877,0.1016949152542373
114,robhny,33079006,thehill,1917731,0.1016949152542373
115,andyostroy,123281100,realDonaldTrump,25073877,0.1016949152542373
116,blesamerica,2534967565,RudyGiuliani,770781940341288960,0.1016949152542373
117,blesamerica,2534967565,RMConservative,252398355,0.1016949152542373
118,golmakanineda,1355147425728638977,zazadeh0111,1331338476760035329,0.1016949152542373
119,therealandrew_,23259015,JoeBiden,939091,0.1016949152542373
120,lindakws1,1649395076,JoeBiden,939091,0.1016949152542373
121,darrickwilkins,25925236,JoeBiden,939091,0.1016949152542373
122,blesamerica,2534967565,GOPLeader,19739126,0.1016949152542373
123,golmakanineda,1355147425728638977,StateDept,9624742,0.1016949152542373
124,golmakanineda,1355147425728638977,USCIS,14625398,0.1016949152542373
125,golmakanineda,1355147425728638977,USADarFarsi,1338899541429391361,0.1016949152542373
126,golmakanineda,1355147425728638977,AP,51241574,0.1016949152542373
127,blesamerica,2534967565,realDonaldTrump,25073877,0.1016949152542373
128,ericjafmn,39824470,JoeBiden,939091,0.1016949152542373
129,mahdis_nimafar,1325738707677278209,POTUS,1349149096909668363,0.1016949152542373
130,healthybuttrfly,99532356,wineecon,57978188,0.1016949152542373
131,runeaglesrun,2825786045,POTUS,1349149096909668363,0.1016949152542373
132,khosraviamirali,1843984716,SecBlinken,1350150750966603777,0.1016949152542373
133,letshearthetru,1151623664854429697,Alyssa_Milano,26642006,0.1016949152542373
134,dcfairbank,55679493,miserablelib,901231734,0.1016949152542373
135,schenhayes,3013191149,ggreenwald,16076032,0.1016949152542373
136,jillpiggott,3116066493,JoeBiden,939091,0.1016949152542373
137,irvinepmaicon,2900987098,Jim_Jordan,18166778,0.1016949152542373
138,b1gten01,885566995084824577,FoxNews,1367531,0.1016949152542373
139,unsportingiam,1452785252,tedlieu,21059255,0.1016949152542373
140,peterdawsonusa,84091971,thehill,1917731,0.1016949152542373
141,chirpingkatee,2991321009,JoeBiden,939091,0.1016949152542373
142,joethevoter,17324944,GOPChairwoman,2353605901,0.1016949152542373
143,greenlakerun,30149991,jackassdad2,3168258530,0.1016949152542373
144,horseridersocal,54320524,JoeBiden,939091,0.1016949152542373
145,marinagipps,16194607,JoeBiden,939091,0.1016949152542373
146,polls_unbiased,1260414789895028737,JoeBiden,939091,0.0847457627118644
147,dcfairbank,55679493,DNC,722793491059769344,0.0847457627118644
148,healthybuttrfly,99532356,CoryBooker,15808765,0.0847457627118644
149,expose_ccp,1208387105111658497,AGRichard1,1097236758373122048,0.0847457627118644
150,icecreamonacone,54361678,TheRickWilson,19084896,0.0847457627118644
151,alyseb1980,64773321,CNN,759251,0.0847457627118644
152,bruce8099,385766134,ProjectLincoln,1205226529455632385,0.0847457627118644
153,brendy5264,776028206579216385,JoeBiden,939091,0.0847457627118644
154,staygoya,996730548369477632,POTUS,1349149096909668363,0.0847457627118644
155,expose_ccp,1208387105111658497,NGL97230373,1101627600953376768,0.0847457627118644
156,mujerpescado,233861002,JoeBiden,939091,0.0847457627118644
157,electiledysfx,1210976097329745925,DNC,722793491059769344,0.0847457627118644
158,scienceinvestme,135970150,dcexaminer,18956073,0.0847457627118644
159,miksu2006,4498209202,JoeBiden,939091,0.0847457627118644
160,dcfairbank,55679493,KitCabello,2906383873,0.0847457627118644
161,abnrgr504,885433602,JoeBiden,939091,0.0847457627118644
162,blesamerica,2534967565,jaketapper,14529929,0.0847457627118644
163,lilyreflections,1439586715,JoeBiden,939091,0.0847457627118644
164,natashaejs,1262462710568022017,realDonaldTrump,25073877,0.0847457627118644
165,blesamerica,2534967565,chucktodd,50325797,0.0847457627118644
166,francisjeffrey7,2268376730,TulsiGabbard,26637348,0.0847457627118644
167,irvinepmaicon,2900987098,seanhannity,41634520,0.0847457627118644
168,moogoo3544,314641312,BretBaier,18646108,0.0847457627118644
169,irvinepmaicon,2900987098,SpeakerPelosi,15764644,0.0847457627118644
170,blesamerica,2534967565,SpeakerPelosi,15764644,0.0847457627118644
171,kccollins20,1227402402145267712,JoeBiden,939091,0.0847457627118644
172,exposingfakene4,979576008004136961,SENSEIKURT,37591321,0.0847457627118644
173,blesamerica,2534967565,RaheemKassam,125128723,0.0847457627118644
174,irvinepmaicon,2900987098,IlhanMN,783792992,0.0847457627118644
175,irvinepmaicon,2900987098,BreitbartNews,457984599,0.0847457627118644
176,lisaisme85,2900247904,JohnCarneyDE,237770636,0.0847457627118644
177,irvinepmaicon,2900987098,AOC,138203134,0.0847457627118644
178,mom49of3,851518182,JoeBiden,939091,0.0847457627118644
179,expose_ccp,1208387105111658497,ShawningArmor,984133959717187589,0.0847457627118644
180,pilot135pd,95308100,realDonaldTrump,25073877,0.0847457627118644
181,greenlakerun,30149991,pjpaton,309686668,0.0847457627118644
182,jphoganorg,37222728,VP,803694179079458816,0.0847457627118644
183,bentleythedog,134307442,DemSocialists,355591226,0.0847457627118644
184,theliberalpov,232353398,DavidCornDC,15220768,0.0847457627118644
185,beyfirudin,1298705760428400641,SecBlinken,1350150750966603777,0.0847457627118644
186,andrew00041995,1583444918,realDonaldTrump,25073877,0.0847457627118644
187,robert_weiter,872024441433337856,CarlJuneau1,1250248153,0.0847457627118644
188,lorirennie,1353276129516220416,JimLongo63,959983126817755136,0.0847457627118644
189,davehorn_ca,159802035,laurenboebert,1201670995435646976,0.0847457627118644
190,moogoo3544,314641312,edhenry,16157855,0.0847457627118644
191,unsportingiam,1452785252,realDonaldTrump,25073877,0.0847457627118644
192,anmike7,1288620300922494976,wsbtv,21094888,0.0847457627118644
193,sharoncarbine,301713190,JoeBiden,939091,0.0847457627118644
194,jhalbrecht,24503192,thehill,1917731,0.0847457627118644
195,mark3ds,1242570896,TorontoStar,12848262,0.0847457627118644
196,zemanlynnz,3589010426,realDonaldTrump,25073877,0.0847457627118644
197,lastblo27719045,1294364198928080896,realDonaldTrump,25073877,0.0847457627118644
198,mark3ds,1242570896,FredLitwin,181611928,0.0847457627118644
199,realdarthpizza,864875899497267200,JoeBiden,939091,0.0847457627118644
200,thrugateofhorn,245919484,JoeBiden,939091,0.0847457627118644
201,ozbatrisa,1296276988437594114,BernieSanders,216776631,0.0847457627118644
202,theliberalpov,232353398,Lawrence,158426909,0.0847457627118644
203,ericjafmn,39824470,jeneps,45399148,0.0847457627118644
204,cyndigist,24121662,cspanwj,15923226,0.0847457627118644
205,rochejacqueline,433675700,JoeBiden,939091,0.0847457627118644
206,realrandycohen,839786785,MattGlantz,27514116,0.0847457627118644
207,blesamerica,2534967565,DevinNunes,54412900,0.06779661016949153
208,ingloriousbhere,1024067503809548288,wearewhiterose_,2172753872,0.06779661016949153
209,miksu2006,4498209202,realDonaldTrump,25073877,0.06779661016949153
210,alyseb1980,64773321,WhiteHouse,1323730225067339784,0.06779661016949153
211,letshearthetru,1151623664854429697,SenGillibrand,72198806,0.06779661016949153
212,mark3ds,1242570896,HonJohnMcCallum,233561717,0.06779661016949153
213,mark3ds,1242570896,GwynneDyer,102271706,0.06779661016949153
214,lobsterstyle,383506589,PpollingNumbers,4432916014,0.06779661016949153
215,mark3ds,1242570896,GordonGChang,151930383,0.06779661016949153
216,ingloriousbhere,1024067503809548288,james_anderssen,717069654158655488,0.06779661016949153
217,ingloriousbhere,1024067503809548288,montimai,2326815733,0.06779661016949153
218,mark3ds,1242570896,MichaelAuslen,27580565,0.06779661016949153
219,ingloriousbhere,1024067503809548288,coinabs,2712571328,0.06779661016949153
220,ingloriousbhere,1024067503809548288,chrispeterson65,424304513,0.06779661016949153
221,ingloriousbhere,1024067503809548288,ZoharInside,883486415073542144,0.06779661016949153
222,ingloriousbhere,1024067503809548288,YourTimesCome,1030306690237968384,0.06779661016949153
223,ingloriousbhere,1024067503809548288,YazidiRescueOps,919693346943115265,0.06779661016949153
224,letshearthetru,1151623664854429697,DavidAgStone,1193635879018999810,0.06779661016949153
225,ingloriousbhere,1024067503809548288,RoverDov123,3001781975,0.06779661016949153
226,mark3ds,1242570896,IvisonJ,81122301,0.06779661016949153
227,mark3ds,1242570896,RalphGoodale,188359178,0.06779661016949153
228,mark3ds,1242570896,NSAGov,2248872301,0.06779661016949153
229,mark3ds,1242570896,elyratner,2205050719,0.06779661016949153
230,mark3ds,1242570896,nationalpost,14216661,0.06779661016949153
231,mark3ds,1242570896,mfisheroverseas,453602533,0.06779661016949153
232,mark3ds,1242570896,jmohanmalik,2785575176,0.06779661016949153
233,mark3ds,1242570896,ianjamesyoung70,903100790,0.06779661016949153
234,alyseb1980,64773321,DonaldJTrumpJr,39344374,0.06779661016949153
235,mark3ds,1242570896,globeandmail,8736882,0.06779661016949153
236,janieresists,1158562636113440768,JoeBiden,939091,0.06779661016949153
237,mark3ds,1242570896,csiscanada,725688814069518336,0.06779661016949153
238,mark3ds,1242570896,GCHQ,4785764884,0.06779661016949153
239,teaparty4pa,1229413533722562567,EaglesCoverUp,1908565106,0.06779661016949153
240,mark3ds,1242570896,cse_cst,718150263253635072,0.06779661016949153
241,khosraviamirali,1843984716,WhiteHouse,1323730225067339784,0.06779661016949153
242,mark3ds,1242570896,cburton001,15312224,0.06779661016949153
243,mark3ds,1242570896,cafreeland,203132018,0.06779661016949153
244,teaparty4pa,1229413533722562567,JoeBiden,939091,0.06779661016949153
245,mark3ds,1242570896,SCS_Disputes,800883578770857984,0.06779661016949153
246,mark3ds,1242570896,GarnettGenuis,235122381,0.06779661016949153
247,ingloriousbhere,1024067503809548288,OhNoMo6,923770131066564608,0.06779661016949153
248,mark3ds,1242570896,nspector4,232519990,0.06779661016949153
249,ingloriousbhere,1024067503809548288,Odelia_Too,887204539841040385,0.06779661016949153
250,mark3ds,1242570896,Colinfreeze,38778248,0.06779661016949153
251,mark3ds,1242570896,CliveCHamilton,85252011,0.06779661016949153
252,mjbricka,38275853,realDonaldTrump,25073877,0.06779661016949153
253,mark3ds,1242570896,Chellaney,19329136,0.06779661016949153
254,jillpiggott,3116066493,PROPkills,33155525,0.06779661016949153
255,mark3ds,1242570896,CanadaChina,2859007707,0.06779661016949153
256,authorjoenbrown,1381903062,JoeBiden,939091,0.06779661016949153
257,mark3ds,1242570896,CSIS,272019676,0.06779661016949153
258,icecreamonacone,54361678,MSNBC,2836421,0.06779661016949153
259,rene_los,3065726160,JohnCornyn,13218102,0.06779661016949153
260,dcfairbank,55679493,BernieSanders,216776631,0.06779661016949153
261,ozbatrisa,1296276988437594114,JoeBiden,939091,0.06779661016949153
262,jillpiggott,3116066493,afortini,39049487,0.06779661016949153
263,ericjafmn,39824470,sahilkapur,19847765,0.06779661016949153
264,mark3ds,1242570896,AaronFriedberg,305111392,0.06779661016949153
265,kas_sb,408934861,JoeBiden,939091,0.06779661016949153
266,jphoganorg,37222728,thehill,1917731,0.06779661016949153
267,johnferris20,4755726972,JudgeJeanine,29458079,0.06779661016949153
268,handgrenadekev,1251583616582406144,thehill,1917731,0.06779661016949153
269,brodymoconnell1,1337794630818164738,POTUS,1349149096909668363,0.06779661016949153
270,schatto3,839902097772527617,JoeBiden,939091,0.06779661016949153
271,lobsterstyle,383506589,Politics_Polls,1903105045,0.06779661016949153
272,ingloriousbhere,1024067503809548288,NYCREMilton,46281453,0.06779661016949153
273,ingloriousbhere,1024067503809548288,IsraelandUSA,949168023868493824,0.06779661016949153
274,ingloriousbhere,1024067503809548288,FredRosner,844129537,0.06779661016949153
275,dcfairbank,55679493,BarackObama,813286,0.06779661016949153
276,ingloriousbhere,1024067503809548288,David_in_Dallas,614322220,0.06779661016949153
277,ingloriousbhere,1024067503809548288,Corp125Vet,728617212152455168,0.06779661016949153
278,mark3ds,1242570896,FenellaSung1,1849613586,0.06779661016949153
279,scienceinvestme,135970150,realDonaldTrump,25073877,0.06779661016949153
280,mimitexasangel,543761210,JoeBiden,939091,0.06779661016949153
281,mark3ds,1242570896,DrBeeZee,2382424706,0.06779661016949153
282,mark3ds,1242570896,David_Mulroney,2255210942,0.06779661016949153
283,mark3ds,1242570896,DanLacelle,898611384560242688,0.06779661016949153
284,_nicolenonya,1212387740639121409,inmyownfashion,1187495878858293250,0.06779661016949153
285,johnbufford,352431177,realDonaldTrump,25073877,0.06779661016949153
286,mark3ds,1242570896,DHSgov,15647676,0.06779661016949153
287,irvinepmaicon,2900987098,DonaldJTrumpJr,39344374,0.06779661016949153
288,irvinepmaicon,2900987098,IvankaTrump,52544275,0.06779661016949153
289,irvinepmaicon,2900987098,IngrahamAngle,50769180,0.06779661016949153
290,rarepatient,1198824339136606208,JudyWoodruff,48144950,0.06779661016949153
291,beosazee,25769369,mjhegar,3021460584,0.06779661016949153
292,beosazee,25769369,mitchellreports,89820928,0.06779661016949153
293,blesamerica,2534967565,RepMattGaetz,818948638890217473,0.06779661016949153
294,beosazee,25769369,maddow,16129920,0.06779661016949153
295,doolinwoman,872296262476812288,AmyKremer,18822612,0.06779661016949153
296,joebobmr,296305721,politico,9300262,0.06779661016949153
297,beosazee,25769369,harrisonjaime,73754019,0.06779661016949153
298,blesamerica,2534967565,SenTomCotton,968650362,0.06779661016949153
299,fabfashionista8,213328236,thenation,1947301,0.06779661016949153
300,beosazee,25769369,faubush,39246787,0.06779661016949153
301,beosazee,25769369,donlemon,16051471,0.06779661016949153
302,beosazee,25769369,chrislhayes,4207961,0.06779661016949153
303,dootster,25305128,JoeNBC,21619519,0.06779661016949153
304,beosazee,25769369,allinwithchris,1286312880,0.06779661016949153
305,beosazee,25769369,ZerlinaMaxwell,21879831,0.06779661016949153
306,tblackwe85,3272301115,ElbaSaavedra3,865047051209510913,0.06779661016949153
307,beosazee,25769369,TheRevAl,42389136,0.06779661016949153
308,beosazee,25769369,morningmika,18227519,0.06779661016949153
309,beosazee,25769369,mwolfers,33394634,0.06779661016949153
310,blesamerica,2534967565,OANN,1209936918,0.06779661016949153
311,georgedoramian,1232471924145577985,JoeBiden,939091,0.06779661016949153
312,rarepatient,1198824339136606208,JoeBiden,939091,0.06779661016949153
313,blesamerica,2534967565,FBI,17629860,0.06779661016949153
314,bh_properties,1035554219325968384,realDonaldTrump,25073877,0.06779661016949153
315,theliberalpov,232353398,realDonaldTrump,25073877,0.06779661016949153
316,jphoganorg,37222728,Heritage,10168082,0.06779661016949153
317,blesamerica,2534967565,HawleyMO,2352629311,0.06779661016949153
318,blesamerica,2534967565,HouseDemocrats,43963249,0.06779661016949153
319,blesamerica,2534967565,JaySekulow,171632862,0.06779661016949153
320,mandyrudenc,2207389554,JamesCTobias,1944680329,0.06779661016949153
321,dcfairbank,55679493,AOC,138203134,0.06779661016949153
322,geniegr06689488,1166873366831271939,realDonaldTrump,25073877,0.06779661016949153
323,lisaisme85,2900247904,ObamaMalik,324236072,0.06779661016949153
324,beosazee,25769369,thereidout,205864193,0.06779661016949153
325,dcfairbank,55679493,DanielLuepker,963189768292110336,0.06779661016949153
326,blesamerica,2534967565,MarshaBlackburn,278145569,0.06779661016949153
327,beosazee,25769369,realDonaldTrump,25073877,0.06779661016949153
328,rangerdamrod,72273677,JoeBiden,939091,0.06779661016949153
329,beosazee,25769369,NicolleDWallace,860555190,0.06779661016949153
330,beosazee,25769369,MaddowBlog,91180720,0.06779661016949153
331,unsportingiam,1452785252,MSNBC,2836421,0.06779661016949153
332,beosazee,25769369,AliVelshi,16378486,0.06779661016949153
333,greenlakerun,30149991,cactusflower81,447163884,0.06779661016949153
334,lorirennie,1353276129516220416,techBohn,409957362,0.06779661016949153
335,natashaejs,1262462710568022017,JRubinBlogger,218975278,0.06779661016949153
336,bentleythedog,134307442,SarcasmStardust,279673090,0.06779661016949153
337,digitalvote_id,1255385746741121024,realDonaldTrump,25073877,0.06779661016949153
338,sebwrites,343956175,RudyGiuliani,770781940341288960,0.06779661016949153
339,mark3ds,1242570896,washingtonpost,2467791,0.06779661016949153
340,natashaejs,1262462710568022017,TheRickWilson,19084896,0.06779661016949153
341,mark3ds,1242570896,stevenchase,16338550,0.06779661016949153
342,irvinepmaicon,2900987098,RepMattGaetz,818948638890217473,0.06779661016949153
343,proud4resisting,1330656625,realDonaldTrump,25073877,0.06779661016949153
344,superwoman26245,701749794302070784,realDonaldTrump,25073877,0.06779661016949153
345,mark3ds,1242570896,rolandparis,222490077,0.06779661016949153
346,irvinepmaicon,2900987098,LindseyGrahamSC,432895323,0.06779661016949153
347,mark3ds,1242570896,nvanderklippe,20418841,0.06779661016949153
348,greenlakerun,30149991,RicciGeri,4846230078,0.06779661016949153
349,beosazee,25769369,AriMelber,15441965,0.06779661016949153
350,beosazee,25769369,LindseyGrahamSC,432895323,0.06779661016949153
351,beosazee,25769369,JoeBiden,939091,0.06779661016949153
352,beosazee,25769369,Lawrence,158426909,0.06779661016949153
353,blesamerica,2534967565,maddow,16129920,0.06779661016949153
354,beosazee,25769369,KatyTurNBC,39000115,0.06779661016949153
355,beosazee,25769369,JoyAnnReid,49698134,0.06779661016949153
356,beosazee,25769369,JoeNBC,21619519,0.06779661016949153
357,blesamerica,2534967565,replouiegohmert,22055226,0.06779661016949153
358,blesamerica,2534967565,rushlimbaugh,1463323379537117187,0.06779661016949153
359,beosazee,25769369,HillaryClinton,1339835893,0.06779661016949153
360,greenlakerun,30149991,DonaldJTrumpJr,39344374,0.06779661016949153
361,beosazee,25769369,Comey,2334193741,0.06779661016949153
362,paulo21114135,1347683949749932035,VP,803694179079458816,0.06779661016949153
363,lilo623,88394635,realDonaldTrump,25073877,0.06779661016949153
364,beosazee,25769369,BetoMetroDos,104701452,0.06779661016949153
365,alwayesresting,1251532567028871171,realDonaldTrump,25073877,0.06779661016949153
366,beosazee,25769369,AymanM,23588075,0.06779661016949153
367,kenjgld,1221453233480183808,JoeBiden,939091,0.06779661016949153
368,jamespyles,18692552,LifeNewsHQ,50434933,0.06779661016949153
369,trumpbestraysus,2475723326,CNNPolitics,13850422,0.06779661016949153
370,mstmo1983,1330846699061964801,FoxNews,1367531,0.06779661016949153
371,elliielle,1244730845379866624,VP,803694179079458816,0.06779661016949153
372,capt_raven_usa,731766729890627584,realDonaldTrump,25073877,0.06779661016949153
373,ztruthmatters,1420837632641314819,POTUS,1349149096909668363,0.06779661016949153
374,electiledysfx,1210976097329745925,redsteeze,393469195,0.06779661016949153
375,moogoo3544,314641312,TeamCavuto,223970563,0.06779661016949153
376,sfslsyed,2951975394,TurgayEvren1,373854815,0.06779661016949153
377,312shelly3,758042170968375296,JoeBiden,939091,0.06779661016949153
378,312shelly3,758042170968375296,ReadeAlexandra,1057029255362531330,0.06779661016949153
379,sina23296582,1392748074389409793,POTUS,1349149096909668363,0.06779661016949153
380,elliielle,1244730845379866624,Rob_Malley,397055388,0.06779661016949153
381,shirlaadams,203650771,JoeBiden,939091,0.06779661016949153
382,bidenharrishats,1293504549567766528,marcorubio,15745368,0.05084745762711865
383,propc2020,424828064,RNCResearch,55329156,0.05084745762711865
384,beosazee,25769369,WillieGeist,17291393,0.05084745762711865
385,beosazee,25769369,VP,803694179079458816,0.05084745762711865
386,beosazee,25769369,ReverendWarnock,1221242033530195970,0.05084745762711865
387,letshearthetru,1151623664854429697,ReadeAlexandra,1057029255362531330,0.05084745762711865
388,kirstenformn,962764981627473921,yokoboji,152749620,0.05084745762711865
389,letshearthetru,1151623664854429697,nwlc,16967845,0.05084745762711865
390,rarepatient,1198824339136606208,CNN,759251,0.05084745762711865
391,moogoo3544,314641312,XochitlHinojosa,221228044,0.05084745762711865
392,mc_eades,714894638658629633,realDonaldTrump,25073877,0.05084745762711865
393,beosazee,25769369,Jillbiden46,1249416438051246080,0.05084745762711865
394,cute_ares,1113897481,TwitterSupport,17874544,0.05084745762711865
395,ingridebap,308851637,JoeBiden,939091,0.05084745762711865
